Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
399000,Can Palet de Vista Alegre,570.0,6.0,3.0,700.0,1,0,2001.0,1,Si,0,1.0,G,Venda,399000,639750,xollo
420000,Centre,251.0,7.0,3.0,1673.0,1,0,1968.0,0,No,1,2.0,E,Venda,420000,427666,xollo
173250,Montserrat,75.0,2.0,2.0,2310.0,1,0,2002.0,0,No,1,3.0,G,Venda,173250,192063,xollo
197000,La Maurina,120.0,3.0,2.0,1642.0,1,0,1955.0,0,No,0,2.0,D,Venda,197000,270525,xollo
211000,Sant Pere Nord,92.0,3.0,1.0,2293.0,1,0,1988.0,1,No,1,1.0,G,Venda,211000,212000,xollo
188000,Cementiri Vell,90.0,3.0,2.0,2089.0,1,0,1994.0,0,No,1,2.0,E,Venda,188000,192063,xollo
180000,Poblenou-Zona Esportiva,129.0,4.0,2.0,1395.0,1,0,1984.0,0,No,0,2.0,F,Venda,180000,270525,xollo
130000,Cementiri Vell,65.0,3.0,1.0,2000.0,0,0,1970.0,0,No,1,1.0,E,Venda,130000,131812,xollo
129000,Sant Pere Nord,79.0,3.0,1.0,1633.0,1,1,1965.0,0,No,0,2.0,G,Venda,129000,154078,xollo
228000,Ca nﾴAurell,150.0,4.0,2.0,1520.0,0,0,1979.0,0,No,0,1.0,C,Venda,228000,270525,xollo
169900,Torre-sana,109.0,2.0,2.0,1559.0,1,0,2006.0,1,No,1,2.0,G,Venda,169900,227462,xollo
124000,Poblenou-Zona Esportiva,107.0,4.0,1.0,1159.0,0,0,1964.0,0,No,0,1.0,G,Venda,124000,136656,xollo
155000,Can Palet,99.0,4.0,2.0,1566.0,1,1,1992.0,1,No,1,1.0,F,Venda,155000,227462,xollo
132000,Poblenou-Zona Esportiva,130.0,4.0,1.0,1015.0,1,0,1954.0,0,No,0,1.0,G,Venda,132000,270525,xollo
195000,Ca n�Aurell,90.0,2.0,2.0,2167.0,1,1,2004.0,1,No,1,3.0,E,Venda,195000,227462,xollo
120000,La Maurina,70.0,3.0,1.0,1714.0,1,0,1965.0,1,No,0,1.0,E,Venda,120000,157664,xollo
89500,La Maurina,83.0,3.0,1.0,1078.0,1,0,1960.0,0,No,1,3.0,G,Venda,89500,154078,xollo
112260,Ca n�Anglada,58.0,2.0,1.0,1936.0,1,0,2008.0,0,No,1,1.0,E,Venda,112260,131812,xollo
239000,Ca n�Aurell,79.0,3.0,2.0,3025.0,1,1,2022.0,0,No,1,2.0,G,Venda,239000,259750,xollo
249000,Poblenou-Zona Esportiva,135.0,3.0,2.0,1844.0,1,1,2000.0,1,No,1,7.0,G,Venda,249000,270525,xollo
190000,Poblenou-Zona Esportiva,90.0,4.0,2.0,2111.0,0,0,1998.0,1,No,1,1.0,E,Venda,190000,227462,xollo
186000,Poblenou-Zona Esportiva,107.0,2.0,2.0,1738.0,1,0,2001.0,0,No,1,2.0,G,Venda,186000,192063,xollo
205000,La Maurina,141.0,3.0,2.0,1454.0,1,1,2001.0,0,No,1,1.0,E,Venda,205000,270525,xollo
250890,Torre-sana,170.0,3.0,2.0,1476.0,1,1,2005.0,1,No,1,1.0,E,Venda,250890,270525,xollo
109200,Egara,81.0,3.0,1.0,1348.0,0,0,1970.0,0,No,0,3.0,F,Venda,109200,136656,xollo
79000,Pere parres,36.0,1.0,1.0,2194.0,0,0,1989.0,0,No,1,7.0,G,Venda,79000,131812,xollo
